Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
bcl_report,Attribute,Warning,{NONEMPTY(REC_TYP) and REC_TYP=='BDY'},N.A.,,,,,Warning,Absolute,,"REC_TYP cannot be null and is hardcoded to ""BDY""",CCRCapital@bmo.com
bcl_report,Attribute,Warning,{NONEMPTY(SRC_SYS_ID) and SRC_SYS_ID=='IBGC'},N.A.,,,,,Warning,Absolute,,"SRC_SYS_ID cannot be null and is SRC_SYS_ID is hardcoded to ""IBGC""",CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,DERIV_EXP_TRANS_ID,,,,,Warning,Absolute,,DERIV_EXP_TRANS_ID cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,TRD_SRC_SYS_ID,,,,,Warning,Absolute,,TRD_SRC_SYS_ID cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,RESP_NODE,,,,,Warning,Absolute,,RESP_NODE cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,TRANSIT_NO,,,,,Warning,Absolute,,TRANSIT_NO cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,BAL_AMT_CURR_CD,,,,,Warning,Absolute,,BAL_AMT_CURR_CD cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,BSL_AST_CLS,,,,,Warning,Absolute,,BSL_AST_CLS cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,OSFI_EXP_TYP,,,,,Warning,Absolute,,OSFI_EXP_TYP cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,OSFI_DERIV_INST_TYP,,,,,Warning,Absolute,,OSFI_DERIV_INST_TYP cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,CNTRY_ULT_RISK_CD,,,,,Warning,Absolute,,CNTRY_ULT_RISK_CD cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,HLD_TRD_BK_IND,,,,,Warning,Absolute,,HLD_TRD_BK_IND cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,PRIM_BRWR_IND,,,,,Warning,Absolute,,PRIM_BRWR_IND cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,BRWR_RISK_RTG,,,,,Warning,Absolute,,BRWR_RISK_RTG cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,CDN_SIC_CD,,,,,Warning,Absolute,,CDN_SIC_CD cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,SUB_PER_NET_IND,,,,,Warning,Absolute,,SUB_PER_NET_IND cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,CALC_METH_TYP,,,,,Warning,Absolute,,CALC_METH_TYP cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,DFT_EXP_IND,,,,,Warning,Absolute,,DFT_EXP_IND cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,TERM_TO_MAT_DT,,,,,Warning,Absolute,,TERM_TO_MAT_DT cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,BAL_AMT,,,,,Warning,Absolute,,BAL_AMT cannot be null,CCRCapital@bmo.com
bcl_report,Attribute,Warning,NONEMPTY,REPL_CST_BFR_NET_AMT_CURR_CD,,,,,Warning,Absolute,,REPL_CST_BFR_NET_AMT_CURR_CD cannot be null,CCRCapital@bmo.com
