Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
V_CALYPSO_MPE_POS_LVL_COL,Feed,Critical,RECORDCOUNT,,BT,5800|6200,,,Threshold,Absolute,Min,V_CALYPSO_POS_LVL is at least 5800 and 6200 rows,
V_CALYPSO_MPE_POS_LVL_COL,Feed,Critical,RECORDCOUNT,,GE,3000,,,Threshold,Absolute,Min,Number of records in L0 collateral data cannot be less than 3000,
V_CALYPSO_MPE_POS_LVL_COL,Feed,Critical,FILESIZE_DELTA_PERCENT,,ge,20,,,Threshold,Percentage,Max,L0 collateral file size is at most 20% change day over day,
V_CALYPSO_MPE_POS_LVL_COL,Feed,Critical,RECORDCOUNT_DELTA,,LE,200,,,Warning,Absolute,Max,V_CALYPSO_MPE_POS_LVL_COL  record count change is at most 200 records,
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,NONEMPTY,PRE_HRCT_MKT_VAL_CLLTRL,,,,,Warning,Absolute,,PRE_HRCT_MKT_VAL_CLLTRL is not empty,
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,NONEMPTY,NOTIONAL_AMOUNT,,,,,Warning,Absolute,,NOTIONAL_AMOUNT is not empty,
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,PRINCIPAL_LEGAL_ENTITY,,,,,Warning,Absolute,,"Attribute ""PRINCIPAL_LEGAL_ENTITY"" cannot be null",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,COUNTERPARTY_LEGAL_NAME,,,,,Warning,Absolute,,"Attribute ""COUNTERPARTY_LEGAL_NAME"" cannot be null",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,"{NONEMPTY(ISIN) if ELIGIBLE_COLLATERAL_GROUP.upper() not in ['CASH', 'LOC'] else True}",N.A.,,,,,Warning,Absolute,,"ISIN cannot be null when ELIGIBLE_COLLATERAL_GROUP not in (""CASH"",""LOC"")",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,"{NONEMPTY(CUSIP) if ELIGIBLE_COLLATERAL_GROUP.upper() not in ['CASH', 'LOC'] else True}",N.A.,,,,,Warning,Absolute,,"CUSIP cannot be null when ELIGIBLE_COLLATERAL_GROUP not in (""CASH"",""LOC"")",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,COLLATERAL_REFERENCE,,,,,Warning,Absolute,,"Attribute ""COLLATERAL_REFERENCE"" cannot be null",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,BOOK,,,,,Warning,Absolute,,"Attribute ""BOOK"" cannot be null",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,{ISNUMBER(PRE_HRCT_MKT_VAL_CLLTRL)},PRE_HRCT_MKT_VAL_CLLTRL,,,,,Warning,Absolute,,"Attribute ""PRE_HRCT_MKT_VAL_CLLTRL"" should be a float",
V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,{ISNUMBER(NOTIONAL_AMOUNT)},NOTIONAL_AMOUNT,,,,,Warning,Absolute,,"Attribute ""NOTIONAL_AMOUNT"" should be a float",
L1_V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,NONEMPTY,PRE_HRCT_MKT_VAL_CLLTRL,,,,,Warning,Absolute,,"Attribute ""PRE_HRCT_MKT_VAL_CLLTRL"" cannot be empty",
L1_V_CALYPSO_MPE_POS_LVL_COL,Attribute,Critical,NONEMPTY,NOTIONAL_AMOUNT,,,,,Warning,Absolute,,"Attribute ""NOTIONAL_AMOUNT"" cannot be empty",
L1_V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,PRINCIPAL_LEGAL_ENTITY,,,,,Warning,Absolute,,"Attribute ""PRINCIPAL_LEGAL_ENTITY"" cannot be null",
L1_V_CALYPSO_MPE_POS_LVL_COL,Attribute,Warning,NONEMPTY,COUNTERPARTY_LEGAL_NAME,,,,,Warning,Absolute,,"Attribute ""COUNTERPARTY_LEGAL_NAME"" cannot be null",
