Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
FX_MARKETDATA,Attribute,Warning,NONEMPTY,CCY_PAIR,,,,,Warning,Absolute,Max,"""CCY_PAIR"" cannot be empty",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,"{REF2(""CCY_PAIR"")[-3:] == 'CNY' if REF2(""FX_SRC"") == 'SAFE' else True}",CCY_PAIR,,,,,Warning,Absolute,Max,"The last 3 char of ""CCY_PAIR"" must be ""CNY"" for ""FX_SRC""=""SAFE""",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,"{REF2(""CCY_PAIR"")[-3:] == 'EUR' if REF2(""FX_SRC"") == 'ECB' else True}",CCY_PAIR,,,,,Warning,Absolute,Max,"The last 3 char of ""CCY_PAIR"" must be ""EUR"" for ""FX_SRC""=""ECB""",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,"{REF2(""CCY_PAIR"")[-3:] == 'USD' if REF2(""FX_SRC"") == 'WSS' else True}",CCY_PAIR,,,,,Warning,Absolute,Max,"The last 3 char of ""CCY_PAIR"" must be ""USD"" for ""FX_SRC""=""WSS""",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,NONEMPTY,RATE,,,,,Warning,Absolute,Max,"""RATE"" cannot be empty",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,NONEMPTY,FX_SRC,,,,,Warning,Absolute,Max,"""FX_SRC"" cannot be empty",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,DISTINCT,CCY_PAIR,,,,,Warning,Absolute,Max,"""CCY_PAIR"" must be unique",CCRCapital@bmo.com
FX_MARKETDATA,Attribute,Warning,ISNUMBER,RATE,,,,,Warning,Absolute,Max,"""RATE"" must be a number",CCRCapital@bmo.com
FX_MARKETDATA_LIST,Attribute,Warning,"MATCH(CCY_PAIR,${INPUT_DIR}/FX_MARKETDATA_${BUS_DATE}.csv,)",CCY_PAIR,,,,,Warning,Absolute,Max,CCY_PAIR from pre-defined list does not match any of the CCY_PAIR in FX_MARKETDATA file,CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,"{DATEFORMAT(REF2(""REVIEW_DT""), 'yyyy-MM-dd')}",REVIEW_DT,,,,,Warning,Absolute,Max,"""REVIEW_DT"" must be in the format of ""YYYY-MM-DD""",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,NONEMPTY,RUN_TYPE,,,,,Warning,Absolute,Max,"""RUN_TYPE"" can not be empty ",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,NONEMPTY,OVRD_TYPE,,,,,Warning,Absolute,Max,"""OVRD_TYPE"" can not be empty ",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,NONEMPTY,OVRD_TYPE_VALUE,,,,,Warning,Absolute,Max,"""OVRD_TYPE_VALUE"" can not be empty ",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,NONEMPTY,OVRD_ATTRIBUTE,,,,,Warning,Absolute,Max,"""OVRD_ATTRIBUTE"" can not be empty ",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,NONEMPTY,VALUE,,,,,Warning,Absolute,Max,"""VALUE"" can not be empty ",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,"{REF2(""RUN_TYPE"") in ['*', 'OSFI-BFG-BA', 'OSFI-BFG-BASA', 'EBA-BME-BA', 'OSFI-BFG-CVAC', 'CBIRC-BMCN-CVAC']}",RUN_TYPE,,,,,Warning,Absolute,Max,"""RUN_TYPE"" must be in {""*"", ""OSFI-BFG-BA"", ""OSFI-BFG-BASA"",""EBA-BME-BA"", ""OSFI-BFG-CVAC"",  ""CBIRC-BMCN-CVAC"")",CCRCapital@bmo.com
MAPG_OVRD,Attribute,Warning,"{REF2(""VALUE"") in ['1_A', '1_B', '2', '3', '4', '5', '6'] if REF2(""OVRD_ATTRIBUTE"") in ['BCBS_SECTOR_NUM'] else True}",VALUE,,,,,Warning,Absolute,Max,"""VALUE"" must be in (""1_A"", ""1_B"", 2, 3, 4, 5, 6) when ""OVRD_ATTRIBUTE""=""BCBS_SECTOR_NUM""",CCRCapital@bmo.com
