Feed,Level,Severity,Rule,Attribute,Operator,Value,EffectiveDate,ExpirationDate,Validation Type,Threshold Type,Min Max,Comment,Notification
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{(int(REF2(""BUS_DT"").split('-')[0]) > 1677 and int(REF2(""BUS_DT"").split('-')[0]) < 2262) if DATEFORMAT(REF2(""BUS_DT""), ""yyyy-MM-dd HH:mm:ss.S"") else False}",BUS_DT,,,,,Warning,Absolute,Max,BUS_DT is not the correct date format,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{(int(REF2(""TRADE_DT"").split('-')[0]) > 1677 and int(REF2(""TRADE_DT"").split('-')[0]) < 2262) if DATEFORMAT(REF2(""TRADE_DT""), ""yyyy-MM-dd HH:mm:ss.S"") else False}",TRADE_DT,,,,,Warning,Absolute,Max,TRADE_DT is not the correct date format,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""DUMMY_IND"") in ['Y', 'N'] or EMPTY(REF2(""DUMMY_IND""))}",DUMMY_IND,,,,,Warning,Absolute,Max,DUMMY_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""SWWR_IND"") in ['Y', 'N'] or EMPTY(REF2(""SWWR_IND""))}",SWWR_IND,,,,,Warning,Absolute,Max,SWWR_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""CLNT_LEG_IND"") in ['Y', 'N'] or EMPTY(REF2(""CLNT_LEG_IND""))}",CLNT_LEG_IND,,,,,Warning,Absolute,Max,CLNT_LEG_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""CCP_IND"") in ['Y', 'N'] or EMPTY(REF2(""CCP_IND""))}",CCP_IND,,,,,Warning,Absolute,Max,CCP_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""QCCP_IND"") in ['Y', 'N'] or EMPTY(REF2(""QCCP_IND""))}",QCCP_IND,,,,,Warning,Absolute,Max,QCCP_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""INT_EXT_CD"") in ['E', 'I'] or EMPTY(REF2(""INT_EXT_CD""))}",INT_EXT_CD,,,,,Warning,Absolute,Max,INT_EXT_CD can be Null or E or I,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""CLNT_TRADE_IND"") in ['Y', 'N'] or EMPTY(REF2(""CLNT_TRADE_IND""))}",CLNT_TRADE_IND,,,,,Warning,Absolute,Max,CLNT_TRADE_IND can be Null or Y or N,CCRCapital@bmo.com
saccr_report_OSFI-BFG-NEW,Attribute,Warning,"{REF2(""CLEARING_MEMBER_IND"") in ['Y', 'N'] or EMPTY(REF2(""CLEARING_MEMBER_IND""))}",CLEARING_MEMBER_IND,,,,,Warning,Absolute,Max,CLEARING_MEMBER_IND can be Null or Y or N,CCRCapital@bmo.com
