Table,FeedColumnName,OdsColumnName,DataType,NullIfEmpty,NullAllowed,Format,DefaultValue
finance_report,ReportDate ,ReportDate ,String,N,N,,
finance_report,SourceSystem ,SourceSystem ,String,N,N,,
finance_report,SourceTradeId,SourceTradeId,String,N,N,,
finance_report,AssetLiabilityCode,AssetLiabilityCode,String,N,N,,
finance_report,GL,GL,String,N,N,,
finance_report,GLType,GLType,String,N,N,,
finance_report,RespCentre,RespCentre,String,N,N,,
finance_report,BookingTransit,BookingTransit,String,N,N,,
finance_report,Currency,Currency,String,N,N,,
finance_report,SourceProductCode,SourceProductCode,String,N,N,,
finance_report,ProductCategoryCode,ProductCategoryCode,String,N,N,,
finance_report,InstrumentType,InstrumentType,String,N,N,,
finance_report,FSProduct,FSProduct,String,N,N,,
finance_report,FSProductGroup,FSProductGroup,String,N,N,,
finance_report,BuySellCode,BuySellCode,String,N,N,,
finance_report,ClearanceType,ClearanceType,String,N,N,,
finance_report,LegalEntity,LegalEntity,String,N,N,,
finance_report,LOB,LOB,String,N,N,,
finance_report,CounterpartyAdaptiveCode,CounterpartyAdaptiveCode,String,N,N,,
finance_report,CounterpartyFullName,CounterpartyFullName,String,N,N,,
finance_report,IntExtCode,IntExtCode,String,N,N,,
finance_report,CDE_NPV,CDE_NPV,String,N,N,,
finance_report,TC_NPV,TC_NPV,String,N,N,,
finance_report,Notional_Currency,Notional_Currency,String,N,N,,
finance_report,TC_Notional_Value ,TC_Notional_Value ,String,N,N,,
finance_report,CDE_Notional_Value ,CDE_Notional_Value ,String,N,N,,
finance_report,MaturityDate,MaturityDate,String,N,N,,
finance_report,ClearingHouseFlag,ClearingHouseFlag,String,N,N,,
finance_report,UTI,UTI,String,N,N,,
finance_report,Product,Product,String,N,N,,
finance_report,SwapOne_SwapId,SwapOne_SwapId,String,N,N,,
finance_report,WS_Transaction_ID,WS_Transaction_ID,String,N,N,,
finance_report,OSFI_INSTRUMENT_TYPE,OSFI_INSTRUMENT_TYPE,String,N,N,,
finance_report,PRODUCT_SUB_TYPE_CD,PRODUCT_SUB_TYPE_CD,String,N,N,,
finance_report,PRODUCT_GROUP,PRODUCT_GROUP,String,N,N,,
