PRODUCT_SUB_TYPE_CD,GL_TYPE,GL_NUM
AVERAGE_QUANTO_OTC,Negative MTM,490220000
AVERAGE_QUANTO_OTC,Positive MTM,190220000
BOND_FORWARD_GFI_CM,Positive MTM,182210000
BOND_FORWARD_GFI_CM,Negative MTM,482210000
BOND_FUTURES,Positive MTM,190512000
BOND_FUTURES,Negative MTM,490512000
BOND_LOCKS,Negative MTM,490212000
BOND_LOCKS,Positive MTM,190212000
CASH_COLLATERAL,Positive MTM,192288000
COMMODITY_FORWARD,Negative MTM,372216000
COMMODITY_FORWARD,Positive MTM,371216000
COMMODITY_FUTURES,Positive MTM,190516000
COMMODITY_FUTURES,Negative MTM,490516000
COMMODITY_LINKED_NOTE,Positive MTM,121112000
COMMODITY_LINKED_NOTE,Negative MTM,416711000
COMMODITY_SWAP,Positive MTM,190712000
COMMODITY_SWAP,Negative MTM,490712000
CREDIT_DEFAULT_SWAP,Negative MTM,490801000
CREDIT_DEFAULT_SWAP,Positive MTM,190801000
CREDIT_LINKED_NOTE,Positive MTM,121112000
CREDIT_LINKED_NOTE,Negative MTM,416711000
CROSS_CURRENCY_BASIS_SWAP,Negative MTM,490115000
CROSS_CURRENCY_BASIS_SWAP,Positive MTM,190115000
CROSS_CURRENCY_INTEREST_RATE_SWAP,Positive MTM,190115000
CROSS_CURRENCY_INTEREST_RATE_SWAP,Negative MTM,490132000
CROSS_CURRENCY_SWAP,Negative MTM,490115000
CROSS_CURRENCY_SWAP,Positive MTM,190115000
CROSS_CURRENCY_SWAPTION,Positive MTM,184202000
CROSS_CURRENCY_SWAPTION,Negative MTM,484202000
CURRENCY_FUTURES,Positive MTM,190502000
CURRENCY_FUTURES,Negative MTM,490502000
DEPOSIT_NOTE,Negative MTM,416795000
DEPOSIT_NOTE,Positive MTM,121112000
EQUITY SWAP,Positive MTM,190117000
EQUITY_FORWARD,Negative MTM,490236000
EQUITY_FORWARD,Positive MTM,190236000
EQUITY_FUTURES,Negative MTM,490519000
EQUITY_FUTURES,Positive MTM,190519000
EQUITY_SWAP,Negative MTM,490117000
EQUITY_SWAP,Positive MTM,190117000
ETD_COMMODITY_SWAPTION,Negative MTM,490481000
ETD_COMMODITY_SWAPTION,Positive MTM,190471000
EXCHANGE_TRADED_BOND_FUTURES_OPTION,Positive MTM,190512000
EXCHANGE_TRADED_BOND_FUTURES_OPTION,Negative MTM,490512000
EXCHANGE_TRADED_COMMODITY_FUTURES_OPTION,Negative MTM,490481000
EXCHANGE_TRADED_COMMODITY_FUTURES_OPTION,Positive MTM,190471000
EXCHANGE_TRADED_COMMODITY_SWAP,Negative MTM,490712000
EXCHANGE_TRADED_COMMODITY_SWAP,Positive MTM,190712000
EXCHANGE_TRADED_CURRENCY_FUTURES_OPTION,Positive MTM,190502000
EXCHANGE_TRADED_CURRENCY_FUTURES_OPTION,Negative MTM,490502000
EXCHANGE_TRADED_EQUITY_OPTION,Positive MTM,190553000
EXCHANGE_TRADED_EQUITY_OPTION,Negative MTM,490557000
EXCHANGE_TRADED_FOREIGN_EXCHANGE_OPTION,Negative MTM,490613000
EXCHANGE_TRADED_FOREIGN_EXCHANGE_OPTION,Positive MTM,190601000
EXCHANGE_TRADED_INTEREST_RATE_FUTURES_OPTION,Negative MTM,490512000
EXCHANGE_TRADED_INTEREST_RATE_FUTURES_OPTION,Positive MTM,182210000
FOREIGN_EXCHANGE_FORWARD_CONTRACT,Negative MTM,490216000
FOREIGN_EXCHANGE_FORWARD_CONTRACT,Positive MTM,190216000
FRA,Positive MTM,190212000
FRA,Negative MTM,490212000
INTEREST_RATE_FUTURES,Positive MTM,182210000
INTEREST_RATE_FUTURES,Negative MTM,490512000
INTEREST_RATE_SWAPTION,Negative MTM,484202000
INTEREST_RATE_SWAPTION,Positive MTM,184202000
MUTUAL_FUND,Positive MTM,172122000
OFFSHORE_FUNDS,Positive MTM,172122000
OTC_BOND_OPTION,Positive MTM,190412000
OTC_BOND_OPTION,Negative MTM,490453000
OTC_COMMODITY_OPTION,Negative MTM,490495000
OTC_COMMODITY_OPTION,Positive MTM,190491000
OTC_EQUITY_OPTION,Positive MTM,190220000
OTC_EQUITY_OPTION,Negative MTM,490220000
OTC_FOREIGN_EXCHANGE_OPTION,Positive MTM,190201000
OTC_FOREIGN_EXCHANGE_OPTION,Negative MTM,490213000
OTC_INTEREST_RATE_OPTION,Positive MTM,190412000
OTC_INTEREST_RATE_OPTION,Negative MTM,490453000
QUANTO_OTC,Negative MTM,490220000
QUANTO_OTC,Positive MTM,190220000
SINGLE_CURRENCY_BASIS_SWAP,Positive MTM,190112000
SINGLE_CURRENCY_BASIS_SWAP,Negative MTM,490112000
SINGLE_CURRENCY_INTEREST_RATE_SWAP,Positive MTM,190112000
SINGLE_CURRENCY_INTEREST_RATE_SWAP,Negative MTM,490112000
STRUCTURED_TRANSACTION,Negative MTM,416795000
STRUCTURED_TRANSACTION,Positive MTM,121112000
TOTAL_RETURN_SWAP,Negative MTM,490312000
TOTAL_RETURN_SWAP,Positive MTM,190312000
TREASURY_LOCKS,Positive MTM,190212000
TREASURY_LOCKS,Negative MTM,490212000
TRS_TREASURY,Positive MTM,190312000
TRS_TREASURY,Negative MTM,490312000
VARIANCE_SWAP,Positive MTM,190117000
VARIANCE_SWAP,Negative MTM,490117000
