Collateral Reference|Book|CPTY_CD|ALLOC_IND|DERIV_MRGN_IND|BLTRL_IND
BMO BNP IM B456U|CC_BOFM-MF-ZZ_9988|LME_BNP_dummy|N|Y|N
BMO CDCC IM|CC_BOFM-MF-ZZ_8640|CDCC|N|N|N
BMO CDCC VM|CC_BOFM-MF-ZZ_8640|CDCC|N|N|N
BMO CME CAD VM|CC_BOFM-MF-ZZ_VM|CME_BMOTOR_dummy|N|Y|N
BMO CME IM|CC_BOFM-MF-ZZ_USD|CME_BMOTOR_dummy|N|Y|N
BMO CME USD VM|CC_BOFM-MF-ZZ_VM|CME_BMOTOR_dummy|N|Y|N
BMO HARRIS USD VM|CC_BOFM-MF-ZZ_VM|BMO|N|N|Y
BMO LCH CAD VM|CC_BOFM-MF-ZZ_VM|LCH_BMOTOR_dummy|N|Y|N
BMO LCH EUR VM|CC_BOFM-MF-ZZ_VM|LCH_BMOTOR_dummy|N|Y|N
BMO LCH GBP VM|CC_BOFM-MF-ZZ_VM|LCH_BMOTOR_dummy|N|Y|N
BMO LCH IM|CC_BOFM-MF-ZZ_USD|LCH_BMOTOR_dummy|N|Y|N
BMO LCH USD VM|CC_BOFM-MF-ZZ_VM|LCH_BMOTOR_dummy|N|Y|N
BMO NBI 0331ABID7 - Equity Options IM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI 0331ABID7 - Equity Options VM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI 052GM18P3 IM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI 052GM18P3 VM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI 05AGM18P4 IM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI 05AGM18P4 VM|CC_BOFM-MF-ZZ_USD|BMO|N|N|Y
BMO NBI Internal IM|CC_BOFM-MF-ZZ_USD_NOACC|BMO|N|N|Y
BMOCHI GSD 9662 USD IM|CC_BMOCHI_USD|FICC_BMO_dummy|N|N|N
BMOCMKT_US_TR NGX IM|CC_BMOCMKT_US_TR_8713|NGX_BMO_dummy|N|Y|N
BMOCMKT_US_TR NGX VM|CC_BMOCMKT_US_TR_8713|NGX_BMO_dummy|N|Y|N
BMOLON JPM EUR VM|CC_BMOLON_Coll|ICCR_ALL_dummy|Y|Y|N
BMOLON LCH CAD VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOLON LCH CHF VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOLON LCH EUR VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOLON LCH GBP VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOLON LCH JPY VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOLON LCH USD VM|CC_BMOLON_VM|LCH_BMOTOR_dummy|N|Y|N
BMOTOR CDS CAD EXTC IM|CC_BOFM-MF-ZZ_Coll|BMO|N|N|Y
BMOTOR JPM EUR IM|CC_BOFM-MF-ZZ_EUR|ICCR_ALL_dummy|Y|Y|N
BMOTOR JPM EUR VM|CC_BOFM-MF-ZZ_Coll|ICCR_ALL_dummy|Y|Y|N
BMOTOR JPM USD IM|CC_BOFM-MF-ZZ_5937|ICCR_ALL_dummy|Y|Y|N
BMOTOR JPM USD VM|CC_BOFM-MF-ZZ_Coll|ICCR_ALL_dummy|Y|Y|N
CMC CITI USD IM|CC_BMOCMC_G6251|ALL_CITI_dummy|Y|Y|N
CMC CITI USD VM|CC_BMOCMC_USD_Coll|ALL_CITI_dummy|Y|Y|N
CMC CMCPD CME IM VM|CC_BMOCMC_USD|BMO|N|N|Y
CMC CME IM|CC_BMOCMC_USD|CME_BMOCMC_dummy|N|Y|N
CMC CME USD VM|CC_BMOCMC_USD|CME_BMOCMC_dummy|N|Y|N
CMC GSD 9533 USD IM|CC_BMOCMC_USD_Coll|FICC_BMOCMC_dummy|N|N|N
CMC ICEEUR USD IM|CC_BMOCMC_USD|ICEU_BMOCMC_dummy|N|Y|N
CMC ICEEUR USD VM|CC_BMOCMC_USD|ICEU_BMOCMC_dummy|N|Y|N
CMC MBSD USD IM|CC_BMOCMC_USD_Coll|GSMB|N|Y|N
CMC NBI CME IM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NBI CME USD VM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NBI-COMM CME IM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NBI-COMM CME USD VM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NBI-PXT CME IM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NBI-PXT CME USD VM|CC_BMOCMC_USD|BMO|N|N|Y
CMC NSCC USD IM|CC_BMOCMC_9420|NSCC|N|N|N
CMC OCC 045 CUST|CC_BMOCMC_USD|OCC_BMOCMC_dummy|N|Y|N
CMC OCC 045 CUST Derivatives VM|CC_BMOCMC_USD|OCC_BMOCMC_dummy|N|Y|N
CMC OCC 045 FIRM Derivatives VM|CC_BMOCMC_USD|OCC_BMOCMC_dummy|N|Y|N
CMC OCC 045 FIRM SecLending VM|CC_BMOCMC_USD|OPTCLEAR|N|N|N
CMCPD CMC CME IM VM|CC_BMOCMCPD_USD|BMO|N|N|Y
COMM NBI CME IM|CC_BOFM-MF-ZZ_USD_NOACC|BMO|N|N|Y
COMM NBI CME USD VM|CC_BOFM-MF-ZZ_USD_NOACC|BMO|N|N|Y
HARRIS BMO USD VM|CC_HARRIS_VM|BMO|N|N|Y
KGS CMC CME IM|CC_BMOCMCPD_USD|BMO|N|N|Y
KGS CMC CME VM|CC_BMOCMCPD_USD|BMO|N|N|Y
